,ID,Area Category,Rank Area Category,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Km Mandi,Tingkat/Lantai,Harga rata2 Komunitas,Harga Dipasarkan (dari Owner),Harga Terjual,Terjual/Belum,Encode Terjual/Belum,Status Kepemilikan,Rank Status Kepemilikan,Arah Hadap Rumah,Rank Arah Hadap Rumah,Posisi Rumah,Rank Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Pemilik Butuh Uang (Urgent),Encode Butuh Uang,Umur Bangunan,Siap Huni (Y/N),Furnish  (Y/N),Encode Furnish,Listed Berapa Lama,Encode Listed,Fasilitas Publik
90,,2,2,160.0,160.0,4,3,1.0,3000.0,2800.0,0.0,0,0,3,5,1,1,5,6,3,0,0.0,2.0,1,0,0,1,8.0,2
91,,2,2,120.0,200.0,4,4,2.0,1500.0,2000.0,0.0,0,0,3,5,4,4,5,6,2,0,0.0,2.0,1,1,1,1,8.0,1
92,,3,3,164.0,140.0,4,4,2.0,4000.0,3500.0,0.0,0,0,3,5,2,2,5,6,3,0,0.0,2.0,1,1,1,1,8.0,1
93,,2,2,136.0,160.0,5,3,2.0,2800.0,2900.0,0.0,0,0,3,5,3,3,5,6,3,0,0.0,1.0,1,1,1,1,8.0,1
94,,2,2,135.0,200.0,5,4,2.0,2500.0,3000.0,0.0,0,0,3,5,3,3,5,6,3,0,0.0,2.0,1,1,1,1,8.0,1
95,,2,2,150.0,140.0,4,2,1.0,1000.0,1450.0,0.0,0,0,3,5,3,3,5,6,2,0,0.0,2.0,1,0,0,1,8.0,1
96,,2,2,135.0,120.0,3,2,1.5,1250.0,1500.0,0.0,0,0,3,5,2,2,5,6,1,0,0.0,2.0,1,1,1,1,8.0,1
97,,2,2,72.0,48.0,1,2,2.0,1300.0,1400.0,0.0,0,0,4,4,2,2,5,6,3,0,0.0,2.0,1,1,1,1,8.0,1
98,,2,2,50.0,65.0,2,1,2.0,1400.0,1300.0,0.0,0,0,4,4,2,2,5,6,3,0,0.0,1.0,1,0,0,1,8.0,2
99,,3,3,160.0,320.0,7,4,2.0,4300.0,3800.0,0.0,0,0,2,3,3,3,5,6,3,0,0.0,2.0,1,0,0,1,8.0,1
